activity,group,duration,distance,steps,calories,record_id,summary_id
walking,walking,390,296,528,15,271,618
transport,transport,527,2943,,,271,619
walking,walking,1905,1496,2528,75,272,620
transport,transport,10372,204789,,,272,621
walking,walking,3621,4211,5401,210,273,622
transport,transport,1657,16215,,,273,623
walking,walking,4785,4879,6582,244,274,624
transport,transport,1514,12281,,,274,625
walking,walking,1993,1940,2624,97,275,626
transport,transport,9859,197916,,,275,627
walking,walking,5026,6841,8814,342,276,628
transport,transport,2234,19309,,,276,629
walking,walking,1615,1605,2486,80,277,630
transport,transport,2566,23381,,,277,631
walking,walking,913,879,1317,44,278,632
cycling,cycling,2731,12324,,275,278,633
transport,transport,1625,10757,,,278,634
walking,walking,720,605,948,30,279,635
cycling,cycling,4196,19952,,444,279,636
transport,transport,1323,7278,,,279,637
walking,walking,1919,1903,2778,95,280,638
cycling,cycling,5191,24256,,540,280,639
transport,transport,1240,9638,,,280,640
walking,walking,3481,4019,5139,201,281,641
transport,transport,2794,20086,,,281,642
walking,walking,1700,1780,2549,89,282,643
transport,transport,3866,25556,,,282,644
walking,walking,2674,2495,3578,125,283,645
transport,transport,2871,26972,,,283,646
walking,walking,1828,2102,2850,105,284,647
cycling,cycling,2948,13687,,305,284,648
transport,transport,1559,13133,,,284,649
walking,walking,1532,1712,2334,86,285,650
cycling,cycling,2798,12268,,275,285,651
transport,transport,1450,10363,,,285,652
walking,walking,466,507,756,25,286,653
cycling,cycling,2628,12330,,274,286,654
transport,transport,1474,10181,,,286,655
walking,walking,2191,2336,3285,117,287,656
transport,transport,2912,23394,,,287,657
walking,walking,659,584,923,29,288,658
cycling,cycling,2330,11487,,255,288,659
transport,transport,3031,17594,,,288,660
walking,walking,5988,7386,9247,369,289,661
transport,transport,3794,33017,,,289,662
walking,walking,1385,1139,1859,57,290,663
transport,transport,3881,27856,,,290,664
walking,walking,3979,4841,6473,242,291,665
transport,transport,2220,19723,,,291,666
walking,walking,2301,2353,3387,118,292,667
cycling,cycling,2852,12093,,271,292,668
transport,transport,3017,18776,,,292,669
walking,walking,1444,1653,2168,83,293,670
cycling,cycling,2617,12241,,273,293,671
transport,transport,1473,10028,,,293,672
walking,walking,1777,1388,2132,69,294,673
transport,transport,5210,31078,,,294,674
walking,walking,513,356,694,18,295,675
transport,transport,1253,5690,,,295,676
walking,walking,2348,2422,3393,121,296,677
transport,transport,3038,21229,,,296,678
walking,walking,381,294,586,15,297,679
transport,transport,1807,17264,,,297,680
walking,walking,1060,1111,1620,56,298,681
transport,transport,2187,19961,,,298,682
cycling,cycling,165,595,,14,298,683
walking,walking,1530,1344,2030,67,299,684
transport,transport,3977,28836,,,299,685
walking,walking,3084,5020,5832,251,300,686
running,running,540,1255,1286,77,300,687
transport,transport,2572,16831,,,300,688
walking,walking,1170,835,1456,42,301,689
cycling,cycling,3168,12775,,288,301,690
transport,transport,2257,15395,,,301,691
walking,walking,1031,788,1211,39,302,692
cycling,cycling,469,1782,,40,302,693
transport,transport,1608,9554,,,302,694
walking,walking,477,305,577,15,303,695
transport,transport,3068,8045,,,303,696
walking,walking,1220,1230,1788,61,304,697
transport,transport,1381,6990,,,304,698
cycling,cycling,371,4187,,89,304,699
walking,walking,486,299,596,15,305,700
transport,transport,1265,9621,,,305,701
walking,walking,1890,1532,2417,77,306,702
transport,transport,3621,22982,,,306,703
cycling,cycling,159,586,,13,306,704
walking,walking,8337,9501,12986,473,307,705
transport,transport,4763,90291,,,307,706
walking,walking,2179,2596,3265,129,308,707
transport,transport,2646,24982,,,308,708
walking,walking,1062,1133,1535,56,309,709
transport,transport,1759,20446,,,309,710
walking,walking,60,30,61,1,310,711
